per_sem;agente;mto_tot_ingresos_soles;cnt_alquileres_mean;cnt_alquileres_std;cnt_dias_alquilados_mean;cnt_dias_alquilados_std;mto_alquiler_soles_std;mto_conserje_soles_mean;mto_conserje_soles_min;mto_conserje_soles_max;mto_conserje_soles_sum;mto_conserje_soles_std;mto_adicionales_soles_mean;mto_adicionales_soles_std;mto_tot_bruto_ingresos_soles_mean;mto_tot_bruto_ingresos_soles_std;porc_mto_alq_mean;porc_mto_alq_max;porc_mto_alq_std;porc_mto_csje_mean;porc_mto_csje_min;porc_mto_csje_max;porc_mto_csje_std;porc_mto_ing_mean;porc_mto_ing_max;ratio_alq_mto_x_unid_mean;ratio_alq_mto_x_unid_std;ratio_csje_mto_x_unid_mean;ratio_csje_mto_x_unid_min;ratio_csje_mto_x_unid_max;ratio_csje_mto_x_unid_std;ratio_alq_mto_x_dia_std;ratio_csje_mto_x_dia_mean;ratio_csje_mto_x_dia_min;ratio_csje_mto_x_dia_max;ratio_csje_mto_x_dia_std
201953;AGENT - 001;3696;3.333333333;1.154700538;10.66666667;6.806859286;1469.646244;0;0;0;0;0;1540.26;1336.361954;4057.426667;2796.391404;1;1;0;0;0;0;0;0.726850309;1;701.25;247.5458291;0;0;0;0;32.98410693;0;0;0;0
201953;AGENT - 002;1254;5.666666667;2.081665999;10;3.605551275;781.7226703;0;0;0;0;0;410.3066667;324.5459631;2767.973333;636.1315918;0.974522293;1;0.044128683;0;0;0;0;0.846796978;0.95908786;420.75;117.929799;0;0;0;0;10.60106354;0;0;0;0
201953;AGENT - 004;880;6.666666667;2.309401077;4;0;3266.878763;0;0;0;0;0;1180.033333;1504.157777;10261.88567;3698.301018;0.984656694;1;0.026575386;0;0;0;0;0.910957308;1;1403.416667;259.2363802;0;0;0;0;2.319744483;0;0;0;0
201953;AGENT - 006;0;0.333333333;0.577350269;0.333333333;0.577350269;152.4204711;0;0;0;0;0;8.8;15.24204711;96.8;167.6625182;0.333333333;1;0.577350269;0;0;0;0;0.303030303;0.909090909;88;152.4204711;0;0;0;0;152.4204711;0;0;0;0
201953;AGENT - 010;0;1.333333333;0.577350269;5;3.464101615;946.8523292;0;0;0;0;0;0;0;1334.666667;946.8523292;1;1;0;0;0;0;0;1;1;1015.666667;804.6057005;0;0;0;0;16.12789024;0;0;0;0
201953;AGENT - 012;0;0.333333333;0.577350269;1;1.732050808;419.1562954;0;0;0;0;0;140.91;244.0632793;382.91;663.2195747;0.333333333;1;0.577350269;0;0;0;0;0.210667433;0.632002298;242;419.1562954;0;0;0;0;139.7187651;0;0;0;0
201953;AGENT - 015;572;1.666666667;1.154700538;4.333333333;3.055050463;820.9076278;0;0;0;0;0;95.7;95.7;1276.366667;850.3237168;1;1;0;0;0;0;0;0.880031274;1;770;598.0601976;0;0;0;0;12.70170592;0;0;0;0
201953;AGENT - 018;3522.75;6.666666667;1.527525232;4;0;0;0;0;0;0;0;2405.7;4166.794628;11489.27233;3070.314004;1;1;0;0;0;0;0;0.896625071;1;1611.024762;146.8588503;0;0;0;0;51.99955035;0;0;0;0
201953;AGENT - 027;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201953;AGENT - 028;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
